"Emissies naar lucht op Nederlands grondgebied; totalen";;;;;;;;;;;;;
0;1;2;3;4;5;6;7;8;9;;;;
;;;Bronnen;;;;;;;;;;
Onderwerp;Perioden;;Totaal Stationaire en mobiele bronnen;Stationaire bronnen, totaal;Energiesector;Nijverheid (geen energiesector);Particulier huishouden;01 Landbouw (stationaire bronnen);"Mobiele bronnen; totaal";Wegverkeer;Binnenvaart;Zeevaart;Landbouw (mobiele bronnen)
CO2;1990;mln kg;170850;137210;52860;40950;22340;7750;33640;23960;1850;3610;1110
CO2;2000;mln kg;182970;142980;63280;34280;22310;7500;39990;28300;2090;4550;1130
CO2;2010;mln kg;199410;157620;68310;35380;25340;10190;41790;30410;1930;5100;1090
CO2;2014;mln kg;177200;136600;63100;31770;17510;7680;40600;29130;2210;5070;1230
CO2;2015;mln kg;184770;143560;67320;32610;18600;8060;41210;29020;2240;5810;1230
CO2;2016;mln kg;186970;145400;66670;34170;19300;8110;41580;29460;2240;5810;1230
SO2;1990;mln kg;242,4;171,8;112,8;51,4;1,1;0;70,6;12,8;1,9;51,7;1,2
SO2;2000;mln kg;138,3;63,2;48,3;13,9;0,5;0;75;3;2,1;65,5;1,2
SO2;2010;mln kg;72,2;32,5;19,4;12,2;0,4;0,1;39,7;0,2;0,5;38,4;0,1
SO2;2014;mln kg;54,8;28,7;18,3;9,5;0,4;0,1;26,2;0,2;0;25,7;0
SO2;2015;mln kg;43,5;29,8;19,7;9,2;0,4;0,1;13,6;0,2;0;13,2;0
SO2;2016;mln kg;40,4;26,7;17,2;8,7;0,4;0,1;13,7;0,2;0;13,2;0
NOx;1990;mln kg;705;274,3;103,9;79;20,5;52,6;430,7;255,1;30,7;88,5;14,5
NOx;2000;mln kg;538,3;179,3;66;34,9;19,7;44,6;359,1;155;30;110,8;14,3
NOx;2010;mln kg;413,4;130,8;32,8;30,2;13,9;41,1;282,6;107,4;26,9;111,2;10,2
NOx;2014;mln kg;349,6;107,4;26,8;24,9;8,3;37,3;242,3;81,4;28,7;101,8;9,3
NOx;2015;mln kg;354,9;110,7;27,5;24,8;8,2;39,6;244,3;75,6;28,6;111;8,7
NOx;2016;mln kg;344,5;108,4;24,6;25,2;7,9;39,9;236;68,9;28,6;111;8
PM10;1990;mln kg;76,91;47,74;7,95;27,83;4,4;4,9;29,18;17,44;1,36;6,13;1,32
PM10;2000;mln kg;48,48;25,08;3,64;10,61;4,19;5,44;23,41;10,89;1,36;7,72;1,05
PM10;2010;mln kg;35,1;19,69;0,55;8,47;3,67;6,04;15,42;6,57;0,97;5,91;0,62
PM10;2014;mln kg;30,91;18,96;0,53;7,73;3,28;6,4;11,94;4,9;0,94;4,58;0,53
PM10;2015;mln kg;30,36;19,18;0,62;7,8;3,26;6,47;11,18;4,71;0,93;4,15;0,48
PM10;2016;mln kg;30,22;19,25;0,44;8,11;3,27;6,45;10,97;4,61;0,93;4,15;0,44
Bron: CBS;;;;;;;;;;;;;
